payment_sequential,payment_type,payment_installments,payment_value,order_id
1,credit_card,2,27.63,72940
1,credit_card,8,134.56,11663
1,credit_card,4,96.98,67460
1,credit_card,2,110.03,68480
1,credit_card,1,17.78,77721
1,credit_card,1,44.0,26379
1,credit_card,4,110.11,77147
4,voucher,1,22.49,2824
1,credit_card,4,46.63,77597
1,boleto,1,52.21,59703
1,credit_card,2,61.77,19644
1,boleto,1,121.88,18500
1,credit_card,1,75.75,50393
1,credit_card,1,130.22,16477
1,credit_card,3,57.53,25668
1,credit_card,7,76.02,19701
1,boleto,1,90.17,51116
1,credit_card,1,31.0,66571
1,credit_card,10,106.77,94166
1,voucher,1,163.25,24269
1,boleto,1,233.66,3106
1,credit_card,1,163.08,30046
1,credit_card,4,135.93,76418
1,credit_card,1,267.05,36489
1,credit_card,7,186.72,48769
2,voucher,1,30.0,52676
1,credit_card,4,97.28,42768
1,credit_card,1,48.61,82226
1,boleto,1,116.7,47266
1,credit_card,1,41.42,20839
1,boleto,1,42.19,64982
1,credit_card,6,125.53,64388
1,credit_card,5,92.76,91185
1,credit_card,8,348.02,84991
1,credit_card,2,203.3,58801
1,credit_card,3,44.35,97563
1,credit_card,10,116.05,84670
1,boleto,1,85.14,69459
1,credit_card,4,236.66,6545
1,credit_card,4,220.3,30381
1,credit_card,1,180.55,93643
1,boleto,1,45.46,93286
1,boleto,1,26.08,45366
1,credit_card,1,375.74,59346
1,credit_card,5,123.41,12892
1,credit_card,10,379.07,13065
1,credit_card,10,2027.16,37942
1,credit_card,1,45.5,98703
1,credit_card,1,91.17,66707
1,boleto,1,93.26,46455
2,voucher,1,30.0,4005
1,credit_card,10,165.96,58972
2,voucher,1,50.0,92452
1,credit_card,10,1002.73,96701
1,boleto,1,116.56,88634
1,credit_card,2,240.52,65807
1,credit_card,3,33.13,3620
1,credit_card,1,213.9,40616
1,credit_card,8,362.17,2783
1,credit_card,2,88.72,31679
1,credit_card,2,46.85,87416
1,boleto,1,68.54,26895
1,boleto,1,32.62,36957
1,credit_card,8,340.08,1273
1,boleto,1,82.06,56971
1,credit_card,1,40.95,35233
1,credit_card,3,67.01,12081
5,voucher,1,20.0,84705
2,voucher,1,76.9,52384
1,credit_card,4,40.27,35441
1,credit_card,8,242.1,11244
1,boleto,1,207.24,82926
1,credit_card,2,215.56,46670
1,credit_card,1,39.92,44782
1,credit_card,8,156.09,91003
1,credit_card,2,131.5,28984
1,boleto,1,137.73,79410
1,credit_card,1,31.75,4216
1,credit_card,8,348.77,97307
1,credit_card,1,12.22,15288
1,credit_card,4,139.87,58485
1,credit_card,12,257.1,41374
1,credit_card,3,269.46,27075
1,credit_card,1,40.0,8336
1,credit_card,10,350.09,52174
2,credit_card,6,134.55,11937
1,credit_card,3,112.73,76119
1,boleto,1,72.05,85109
1,credit_card,1,0.67,71821
1,credit_card,2,77.77,84267
1,credit_card,2,26.68,63712
1,credit_card,1,371.42,37745
1,credit_card,6,225.71,10287
1,credit_card,3,103.79,56617
1,boleto,1,65.0,11427
2,voucher,1,69.8,88250
2,voucher,1,20.09,97583
1,credit_card,1,125.41,52254
1,boleto,1,95.99,90036
1,credit_card,2,25.33,80918
1,credit_card,1,52.57,42075
1,credit_card,2,145.58,60747
1,credit_card,3,49.7,63943
1,credit_card,1,47.43,20462
1,credit_card,2,168.57,55186
1,credit_card,1,133.81,93334
2,voucher,1,1.23,55011
1,boleto,1,123.82,64194
1,credit_card,3,283.66,72973
1,credit_card,1,89.88,41171
1,boleto,1,32.38,65177
1,credit_card,1,43.08,41736
1,credit_card,1,254.58,4059
2,voucher,1,48.91,319
1,credit_card,4,48.22,14128
1,credit_card,6,67.58,45499
1,credit_card,10,311.18,90101
1,credit_card,4,154.14,1592
1,credit_card,2,333.68,80752
1,boleto,1,404.88,46326
1,boleto,1,44.77,25405
1,voucher,1,1302.42,38688
1,credit_card,10,645.8,22441
1,credit_card,1,186.39,59295
1,credit_card,10,208.41,16290
1,debit_card,1,76.39,29324
1,credit_card,2,67.42,35081
1,credit_card,4,232.05,10231
1,boleto,1,69.33,75025
1,credit_card,3,641.2,77199
1,boleto,1,41.86,63372
1,voucher,1,50.0,40848
1,credit_card,1,106.96,14208
1,credit_card,10,2288.31,15994
1,boleto,1,69.9,43863
1,boleto,1,88.08,48992
1,credit_card,4,117.39,53423
1,debit_card,1,194.91,16419
1,debit_card,1,68.89,19296
1,credit_card,2,151.51,11409
1,credit_card,1,54.85,54884
1,credit_card,1,103.68,60068
1,debit_card,1,225.63,82914
1,boleto,1,39.6,8868
1,credit_card,10,159.18,6068
1,credit_card,1,234.43,57053
1,boleto,1,44.83,88664
1,credit_card,4,205.44,11344
1,credit_card,1,13.55,36503
1,credit_card,1,221.96,63605
1,credit_card,1,52.38,38527
1,credit_card,9,131.47,89326
1,credit_card,2,38.06,22324
2,voucher,1,35.0,8830
1,credit_card,3,143.65,10610
1,credit_card,3,86.73,71746
1,credit_card,5,118.35,39904
1,credit_card,1,341.58,58593
1,credit_card,2,105.42,90950
1,credit_card,4,68.16,23093
1,credit_card,10,357.97,30295
3,voucher,1,2.99,31310
1,boleto,1,92.57,97342
1,credit_card,2,68.35,49753
1,credit_card,13,197.23,66732
1,credit_card,3,153.67,39143
1,credit_card,3,46.43,94325
1,credit_card,4,102.03,80573
1,credit_card,5,119.45,67911
1,credit_card,1,44.23,15133
1,credit_card,1,67.5,98500
5,voucher,1,8.75,84866
1,credit_card,2,44.27,27631
1,credit_card,1,37.15,37391
1,credit_card,2,114.13,17704
1,credit_card,1,396.97,10910
1,credit_card,10,185.85,85632
1,credit_card,3,62.11,11093
1,credit_card,2,25.23,52938
1,credit_card,5,153.22,54580
1,debit_card,1,145.01,59095
1,boleto,1,70.89,92372
1,credit_card,6,114.34,11223
1,credit_card,2,31.38,95431
1,credit_card,5,256.5,66912
1,boleto,1,341.4,4295
1,credit_card,1,143.99,92391
1,voucher,1,84.88,37187
1,credit_card,8,232.27,97249
1,credit_card,5,194.0,35887
1,credit_card,1,260.57,32296
1,credit_card,1,49.59,72779
1,credit_card,3,196.55,76538
1,boleto,1,245.94,16030
2,voucher,1,72.42,12713
1,credit_card,2,217.15,11688
1,credit_card,4,152.28,3181
1,credit_card,3,72.34,25821
1,credit_card,5,128.95,95798
1,credit_card,1,56.85,67348
1,credit_card,1,20.29,42956
1,boleto,1,171.75,39986
1,credit_card,1,85.82,32874
1,boleto,1,56.05,91603
1,boleto,1,26.09,84886
1,credit_card,1,41.17,2525
1,boleto,1,37.25,88861
1,credit_card,5,135.13,56739
1,credit_card,5,477.45,93457
1,credit_card,2,440.12,73160
1,credit_card,1,67.7,59135
1,boleto,1,168.51,76760
1,boleto,1,31.86,27336
1,boleto,1,40.87,49008
1,credit_card,10,109.59,25835
1,credit_card,3,206.87,35452
1,credit_card,1,134.38,94648
1,credit_card,1,56.06,55465
1,credit_card,3,264.08,25424
1,credit_card,10,240.77,52453
1,credit_card,2,91.72,69244
1,credit_card,4,49.01,83912
1,boleto,1,107.87,12560
1,credit_card,3,62.01,82801
1,credit_card,1,36.69,38026
1,credit_card,3,35.0,96197
1,credit_card,8,256.37,27435
1,credit_card,1,47.84,87987
1,credit_card,5,125.87,19551
1,credit_card,1,42.39,87250
1,credit_card,5,117.53,8115
1,credit_card,1,43.28,51068
1,credit_card,4,144.54,34499
1,boleto,1,126.48,34063
1,credit_card,4,125.29,29864
1,credit_card,2,229.74,94756
1,credit_card,1,124.6,21246
1,boleto,1,143.86,12591
1,voucher,1,56.89,96894
1,boleto,1,46.78,55948
8,voucher,1,3.98,27661
1,credit_card,3,72.66,2066
1,boleto,1,50.1,63180
1,boleto,1,85.79,726
1,boleto,1,63.7,37422
1,credit_card,10,1586.47,11792
1,credit_card,3,433.07,83141
1,credit_card,10,642.02,23704
1,credit_card,4,263.95,80586
1,boleto,1,134.99,63499
1,credit_card,1,57.89,45885
1,credit_card,1,383.99,94505
1,boleto,1,159.31,61641
1,credit_card,1,756.91,79224
1,credit_card,7,156.22,65863
1,credit_card,10,132.95,60371
1,boleto,1,48.27,33373
1,credit_card,5,107.35,39288
1,credit_card,10,110.2,58212
1,credit_card,8,368.92,69556
1,boleto,1,106.85,73567
1,credit_card,8,281.5,23065
1,credit_card,2,54.25,93663
1,credit_card,5,121.78,45289
1,credit_card,2,102.26,3390
1,boleto,1,90.62,56550
1,boleto,1,75.69,89264
1,debit_card,1,42.86,38522
1,credit_card,1,35.7,79663
1,credit_card,10,444.25,42361
1,credit_card,1,69.16,27027
2,voucher,1,30.0,11940
1,credit_card,2,65.71,74098
1,credit_card,1,29.29,82844
1,credit_card,1,37.74,25010
2,voucher,1,30.0,62385
1,credit_card,2,145.9,7364
1,credit_card,1,79.88,25278
1,credit_card,5,108.0,76702
1,credit_card,6,348.74,27701
1,credit_card,6,88.78,1823
1,credit_card,4,953.71,55476
1,credit_card,6,125.77,82771
1,credit_card,3,64.05,88638
1,boleto,1,127.69,17416
1,credit_card,1,62.42,21349
1,credit_card,5,55.69,94387
1,credit_card,7,146.13,58556
1,credit_card,5,349.99,93070
1,credit_card,1,91.28,9786
1,boleto,1,108.64,68526
1,credit_card,2,158.98,4514
1,credit_card,1,20.75,213
1,boleto,1,72.9,32316
1,credit_card,3,543.83,61574
1,credit_card,2,67.12,82091
1,credit_card,6,139.07,78038
1,boleto,1,126.68,59923
1,credit_card,1,41.42,54790
1,boleto,1,203.16,33374
1,credit_card,8,540.02,71536
1,boleto,1,368.6,78759
1,credit_card,4,107.78,35522
1,credit_card,10,387.27,61484
1,credit_card,10,107.23,58949
1,credit_card,2,101.25,9010
1,credit_card,1,26.09,97503
1,boleto,1,244.35,82572
1,credit_card,10,117.85,69069
1,credit_card,3,171.32,34440
1,credit_card,10,202.44,76246
1,boleto,1,73.03,81861
1,credit_card,4,264.67,91402
1,credit_card,1,68.7,72805
1,boleto,1,55.13,14673
1,credit_card,2,92.99,88251
1,credit_card,3,36.0,45116
1,credit_card,1,17.87,85277
1,credit_card,1,58.38,54729
2,voucher,1,50.0,89414
1,credit_card,10,1995.69,14219
1,credit_card,3,130.14,27503
1,boleto,1,710.23,85059
1,credit_card,1,68.0,76550
1,credit_card,5,59.51,39499
1,credit_card,5,371.94,42142
1,credit_card,10,667.99,23892
1,credit_card,1,63.89,41378
1,credit_card,4,49.34,8342
1,boleto,1,147.0,22650
1,credit_card,1,354.64,2183
1,credit_card,4,59.71,45568
1,credit_card,8,408.66,53794
1,credit_card,5,51.66,52888
1,credit_card,2,386.46,49300
1,credit_card,2,69.54,75063
1,credit_card,1,21.94,65778
1,credit_card,1,52.34,65512
1,credit_card,1,114.25,20896
1,credit_card,2,162.83,27392
1,credit_card,1,172.92,93080
1,credit_card,7,81.72,88513
1,credit_card,2,151.79,80260
1,credit_card,4,243.62,89113
1,boleto,1,56.42,43174
1,credit_card,4,45.13,50205
1,boleto,1,108.64,96065
1,credit_card,4,64.51,18477
1,credit_card,8,193.5,42888
1,boleto,1,110.63,73292
1,credit_card,5,200.55,88522
1,credit_card,1,41.71,31540
1,credit_card,1,54.43,1130
1,credit_card,3,77.64,45680
1,boleto,1,280.08,89404
1,credit_card,5,101.34,77175
1,credit_card,1,77.57,28134
1,credit_card,4,60.2,38197
1,boleto,1,48.1,49428
1,boleto,1,76.02,49038
1,credit_card,2,84.56,65449
2,voucher,1,20.0,1743
1,credit_card,4,48.16,89284
1,debit_card,1,265.41,14292
1,credit_card,5,127.53,40269
1,credit_card,2,128.73,44507
1,credit_card,3,37.37,80470
1,credit_card,5,150.15,24634
1,credit_card,2,36.16,38019
1,credit_card,4,198.0,71992
1,credit_card,5,112.4,37386
1,credit_card,1,35.4,2609
1,credit_card,6,189.98,2958
1,credit_card,2,228.6,74629
1,credit_card,8,314.21,13447
1,credit_card,1,22.29,13917
1,credit_card,8,257.3,52458
1,credit_card,6,162.99,19584
1,boleto,1,51.03,41399
1,credit_card,12,190.09,96218
1,credit_card,7,374.24,48042
1,credit_card,5,53.15,63437
1,credit_card,2,88.2,20173
2,voucher,1,25.9,42610
1,credit_card,1,46.81,54113
1,boleto,1,131.47,65910
1,credit_card,3,258.71,53537
1,credit_card,1,84.23,88669
1,credit_card,10,156.73,4633
1,boleto,1,69.9,38711
1,boleto,1,48.13,49568
1,credit_card,6,187.15,88517
1,credit_card,3,69.99,72056
2,voucher,1,25.0,42895
1,credit_card,2,162.1,25164
1,credit_card,1,57.11,20190
1,credit_card,1,154.87,35245
1,credit_card,4,236.81,83964
1,credit_card,1,102.53,65970
1,credit_card,3,65.1,84849
1,boleto,1,93.64,85357
1,boleto,1,64.09,97177
1,credit_card,5,279.4,29465
1,credit_card,5,205.43,93863
1,credit_card,4,89.57,57938
1,boleto,1,75.07,45838
1,credit_card,4,63.23,12736
1,credit_card,1,0.52,24837
1,credit_card,10,231.27,48875
1,boleto,1,41.69,24722
1,credit_card,4,69.41,45687
1,credit_card,1,72.75,2877
1,credit_card,2,24.29,98208
1,credit_card,5,88.49,73102
1,credit_card,7,71.66,66273
1,credit_card,2,80.81,81369
1,credit_card,2,132.82,7739
1,credit_card,7,394.07,70137
1,credit_card,2,165.5,31257
1,credit_card,2,98.47,61017
1,credit_card,2,49.77,1532
1,credit_card,8,180.91,21476
1,credit_card,4,40.63,54915
1,debit_card,1,71.63,37702
1,credit_card,5,262.94,1881
1,credit_card,3,62.22,57188
1,credit_card,5,311.57,86508
1,debit_card,1,93.22,54323
1,boleto,1,100.21,74747
1,credit_card,4,125.43,77290
1,boleto,1,80.55,41929
1,credit_card,2,373.44,9497
1,credit_card,3,62.31,60831
1,debit_card,1,36.35,33187
1,credit_card,2,29.38,11908
1,credit_card,10,102.47,49601
1,credit_card,3,130.0,23364
1,credit_card,5,69.13,97861
1,credit_card,1,86.24,22314
1,credit_card,1,74.29,13898
1,credit_card,7,70.72,14992
1,credit_card,3,199.0,57393
1,credit_card,3,340.47,7914
1,credit_card,4,48.74,75384
1,credit_card,2,28.08,16590
1,voucher,1,59.9,93129
1,credit_card,1,166.29,86643
1,boleto,1,51.1,51364
1,credit_card,1,67.83,12873
1,credit_card,3,164.35,51491
1,boleto,1,79.09,39723
1,boleto,1,93.69,97102
1,credit_card,2,59.82,9613
1,credit_card,3,159.03,48467
1,credit_card,9,92.57,38133
1,credit_card,4,42.77,17035
1,credit_card,8,453.74,7244
1,credit_card,3,234.08,59781
1,credit_card,2,67.62,91533
1,credit_card,1,19.33,8381
1,credit_card,3,143.18,73728
1,credit_card,4,112.83,75507
1,boleto,1,85.92,14531
1,credit_card,4,102.05,77770
1,credit_card,3,134.12,60757
1,credit_card,1,112.13,93325
1,credit_card,1,70.75,60110
1,credit_card,7,77.6,23852
1,credit_card,1,197.04,47739
1,credit_card,1,93.18,96631
1,boleto,1,44.72,26558
1,credit_card,1,26.38,74052
1,debit_card,1,149.14,59715
1,credit_card,4,106.32,56627
1,credit_card,8,246.96,34650
1,credit_card,1,22.29,90969
1,credit_card,3,57.48,77006
1,credit_card,4,105.28,12969
1,credit_card,8,203.54,43665
1,credit_card,2,330.4,75033
1,boleto,1,108.68,40100
1,boleto,1,415.93,893
1,credit_card,10,314.21,97467
1,credit_card,1,206.08,63857
1,credit_card,1,27.7,20635
1,boleto,1,19.48,32093
1,credit_card,2,121.09,74431
1,credit_card,1,206.76,35853
1,credit_card,1,142.21,64860
1,boleto,1,73.34,31243
1,credit_card,1,72.62,80583
1,credit_card,1,86.24,73251
1,boleto,1,230.1,90520
1,boleto,1,206.14,43753
1,boleto,1,212.73,41347
1,credit_card,1,94.82,98704
1,boleto,1,126.44,32489
2,voucher,1,140.08,67168
1,credit_card,1,68.87,68002
1,credit_card,2,87.58,62206
1,credit_card,10,305.19,39972
1,credit_card,5,161.88,64217
1,debit_card,1,88.08,35719
1,credit_card,3,92.5,77355
1,credit_card,1,43.0,99366
1,credit_card,2,116.36,7177
1,boleto,1,64.48,94623
1,boleto,1,37.69,70647
1,credit_card,2,150.52,66368
1,credit_card,6,314.3,18330
1,credit_card,8,396.35,6812
2,debit_card,1,98.33,18300
1,credit_card,1,120.92,72048
1,credit_card,1,76.17,497
1,credit_card,1,104.43,30620
1,credit_card,1,105.94,98369
1,credit_card,3,110.04,63071
1,boleto,1,730.95,73289
1,credit_card,4,128.77,95470
1,credit_card,8,82.1,6701
1,boleto,1,53.39,8054
1,credit_card,3,61.79,98987
1,boleto,1,86.83,19021
1,credit_card,1,45.3,68607
1,credit_card,1,25.5,15844
2,voucher,1,103.79,72264
1,credit_card,6,114.28,10822
1,credit_card,2,57.78,78130
1,credit_card,1,124.15,68006
1,credit_card,3,64.1,33331
1,credit_card,10,179.92,45592
1,boleto,1,40.01,15037
1,credit_card,5,104.27,26480
1,credit_card,8,307.96,68117
1,credit_card,2,31.29,32105
1,credit_card,1,38.13,29513
1,voucher,1,52.01,82248
1,credit_card,1,35.05,28032
1,credit_card,8,186.49,48808
1,credit_card,4,99.95,49061
1,credit_card,4,215.62,40675
1,credit_card,3,206.2,99417
1,boleto,1,55.06,25150
1,credit_card,1,21.04,74582
1,credit_card,1,26.45,70057
1,credit_card,1,127.53,98242
1,credit_card,10,223.14,91256
1,credit_card,2,56.41,65615
1,boleto,1,566.63,78345
1,credit_card,2,39.41,54725
1,credit_card,6,148.64,70494
1,credit_card,4,64.0,36785
1,credit_card,3,151.09,81074
1,boleto,1,93.91,1458
1,credit_card,2,71.14,73617
1,credit_card,3,188.06,10892
1,credit_card,2,257.21,43654
1,credit_card,4,692.94,49797
1,credit_card,8,181.1,39465
1,boleto,1,202.26,61663
1,credit_card,3,164.15,43841
1,credit_card,10,137.13,55360
1,credit_card,1,2.01,2881
1,boleto,1,272.58,82897
1,credit_card,4,87.36,24271
5,voucher,1,16.54,89988
1,credit_card,4,234.19,72049
1,boleto,1,86.37,2614
1,boleto,1,33.0,72815
1,credit_card,1,10.89,29333
1,credit_card,4,84.14,84680
1,boleto,1,43.28,37613
1,credit_card,1,47.95,1815
1,boleto,1,76.08,80908
1,boleto,1,104.37,62450
1,credit_card,1,69.61,91790
1,credit_card,3,121.09,69228
1,credit_card,7,238.65,35993
1,credit_card,4,181.59,5486
1,credit_card,2,135.26,39589
1,credit_card,3,51.09,1611
1,credit_card,3,1783.44,6086
1,credit_card,3,145.01,64886
1,credit_card,10,231.27,50820
1,boleto,1,70.03,13400
1,credit_card,10,1432.92,54424
1,voucher,1,45.24,36200
2,voucher,1,50.0,93549
1,credit_card,1,64.01,12339
1,credit_card,6,148.18,9332
1,credit_card,1,171.53,31961
1,credit_card,3,86.15,85157
1,debit_card,1,22.79,78701
1,credit_card,2,58.16,81143
1,boleto,1,149.42,13091
1,credit_card,1,44.53,80104
1,credit_card,2,152.82,41985
1,credit_card,8,82.92,41373
1,boleto,1,66.69,12535
1,boleto,1,52.75,47418
1,credit_card,5,105.94,38928
1,credit_card,8,413.31,14441
1,credit_card,3,112.09,65540
1,credit_card,4,186.36,11450
1,credit_card,3,165.22,19456
1,credit_card,3,49.02,59621
1,debit_card,1,173.68,40834
1,credit_card,2,205.07,69669
1,credit_card,1,21.04,13123
1,credit_card,2,132.68,10377
1,credit_card,1,36.09,52734
1,boleto,1,66.44,57534
1,boleto,1,161.62,86353
1,credit_card,1,27.75,25666
1,credit_card,1,91.28,75034
2,voucher,1,81.93,30236
1,credit_card,2,167.92,27827
1,credit_card,1,61.36,1569
1,credit_card,2,60.0,69004
1,credit_card,3,39.01,21604
1,credit_card,3,39.78,61640
1,credit_card,2,64.23,94063
1,credit_card,4,186.92,81890
1,credit_card,2,43.29,78489
1,credit_card,1,59.13,23612
1,credit_card,3,33.51,90685
1,debit_card,1,33.1,68093
1,voucher,1,148.06,73913
1,credit_card,2,189.56,28617
1,credit_card,5,105.38,25373
1,boleto,1,69.06,90229
1,voucher,1,85.24,62111
1,credit_card,5,179.46,88458
1,credit_card,1,168.35,89826
2,voucher,1,100.0,61026
1,credit_card,1,77.89,94597
1,credit_card,1,99.43,80432
1,credit_card,1,407.9,20455
3,voucher,1,15.0,33520
1,credit_card,2,424.04,56245
1,credit_card,3,157.2,34193
1,credit_card,4,162.03,33036
1,credit_card,8,188.5,66599
1,credit_card,1,65.47,40817
1,credit_card,1,39.42,26394
1,credit_card,5,365.32,10462
1,credit_card,6,65.11,1476
1,credit_card,10,188.34,55298
1,boleto,1,35.4,74959
1,credit_card,10,590.72,71180
1,boleto,1,36.75,21549
1,credit_card,2,81.73,51344
1,credit_card,1,17.86,85690
1,boleto,1,108.97,20742
1,credit_card,10,569.66,21637
1,credit_card,4,48.13,92473
1,credit_card,2,63.1,31153
1,boleto,1,39.42,25970
1,boleto,1,74.03,49641
1,boleto,1,66.78,96840
1,credit_card,1,36.59,17671
1,credit_card,5,272.64,52696
1,credit_card,1,64.34,23326
1,boleto,1,49.05,55533
1,credit_card,7,163.69,42873
1,credit_card,6,443.85,66188
1,credit_card,6,165.31,91578
1,credit_card,10,1180.51,46906
1,credit_card,1,706.84,25953
2,voucher,1,20.0,8001
1,credit_card,1,135.97,89610
1,credit_card,1,56.99,66588
1,credit_card,1,43.58,54895
1,credit_card,4,48.15,85529
1,credit_card,1,76.87,65394
1,credit_card,1,2.78,46448
1,credit_card,2,123.59,2709
1,boleto,1,128.07,63855
1,credit_card,2,185.84,65892
1,credit_card,1,85.81,2148
1,credit_card,1,149.54,17916
1,credit_card,1,32.38,53626
1,credit_card,1,23.38,84848
1,credit_card,1,98.86,29654
1,credit_card,8,124.21,29475
1,credit_card,6,191.58,97332
1,credit_card,2,123.04,90791
1,credit_card,1,26.38,79654
1,credit_card,2,71.49,90975
1,credit_card,1,153.98,41211
1,credit_card,1,55.91,30023
1,credit_card,6,86.06,11841
1,credit_card,1,33.1,16408
1,credit_card,10,360.29,70123
1,credit_card,10,105.24,71842
1,credit_card,3,114.85,34433
2,voucher,1,0.01,56098
1,credit_card,1,65.57,75040
1,credit_card,3,88.9,36265
1,credit_card,1,76.78,89446
1,credit_card,10,680.96,72102
5,voucher,1,27.91,33826
1,credit_card,2,61.79,22382
1,credit_card,1,40.96,28479
1,credit_card,2,149.0,41421
1,credit_card,7,75.7,94842
1,credit_card,4,356.9,39645
1,credit_card,2,165.96,27488
1,credit_card,2,61.19,49354
1,credit_card,1,43.37,90070
1,credit_card,2,40.86,75817
1,credit_card,1,84.81,22458
4,voucher,1,8.24,36523
1,credit_card,3,191.93,16860
1,credit_card,1,32.72,11337
1,boleto,1,32.77,51520
1,credit_card,5,50.5,76631
1,credit_card,3,37.05,38485
1,credit_card,1,70.36,80258
1,credit_card,1,38.0,56563
1,boleto,1,196.81,66981
1,boleto,1,46.84,88640
1,credit_card,10,367.2,63635
1,credit_card,4,195.36,79388
1,credit_card,7,144.8,17382
1,boleto,1,28.62,97149
1,boleto,1,160.74,37146
2,voucher,1,103.59,14254
1,credit_card,1,10.39,41177
1,credit_card,1,31.75,91469
1,credit_card,5,116.23,48524
1,credit_card,4,40.43,41439
1,boleto,1,66.64,55863
1,voucher,1,17.01,40810
1,boleto,1,189.96,70881
1,boleto,1,170.37,57400
1,credit_card,2,50.9,84295
1,credit_card,1,133.64,25682
1,boleto,1,543.29,85419
1,credit_card,2,42.75,36744
1,credit_card,2,161.01,54960
1,boleto,1,72.83,68911
1,boleto,1,1605.14,62026
1,boleto,1,130.6,8768
1,credit_card,1,69.67,17521
1,credit_card,2,70.97,15207
1,credit_card,10,255.76,23608
1,credit_card,4,75.4,9620
1,credit_card,3,109.93,95710
1,credit_card,1,71.14,10688
1,credit_card,3,113.33,49764
1,credit_card,1,292.86,32541
1,credit_card,2,129.15,92655
1,credit_card,7,177.67,53482
1,credit_card,1,27.48,26789
1,credit_card,1,140.94,88365
1,boleto,1,23.0,96363
1,credit_card,1,49.09,31426
1,credit_card,1,84.79,6482
1,boleto,1,111.02,42155
1,credit_card,1,42.44,21448
1,credit_card,1,210.56,96899
1,credit_card,4,42.74,56160
1,boleto,1,50.1,6904
1,credit_card,1,67.23,41208
1,credit_card,4,46.66,76230
1,credit_card,1,201.05,74078
1,credit_card,4,81.47,8308
1,boleto,1,79.69,36679
1,credit_card,4,45.12,81382
