product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_id
relogios_presentes,56.0,489.0,2.0,250.0,16.0,11.0,11.0,72
cool_stuff,57.0,992.0,3.0,1200.0,44.0,20.0,20.0,73
construcao_ferramentas_construcao,54.0,339.0,1.0,4800.0,25.0,8.0,25.0,74
pet_shop,54.0,463.0,1.0,700.0,40.0,20.0,20.0,75
beleza_saude,40.0,1469.0,3.0,1050.0,18.0,21.0,27.0,76
eletroportateis,58.0,587.0,3.0,350.0,20.0,20.0,20.0,77
perfumaria,52.0,150.0,1.0,422.0,21.0,16.0,18.0,78
relogios_presentes,51.0,484.0,1.0,317.0,19.0,13.0,16.0,79
agro_industria_e_comercio,39.0,430.0,1.0,16400.0,63.0,66.0,56.0,80
beleza_saude,22.0,1313.0,1.0,938.0,29.0,22.0,23.0,81
beleza_saude,37.0,1168.0,1.0,2700.0,21.0,16.0,31.0,82
cama_mesa_banho,39.0,1146.0,1.0,1750.0,30.0,18.0,30.0,83
ferramentas_jardim,42.0,671.0,1.0,3850.0,29.0,12.0,24.0,84
perfumaria,49.0,460.0,2.0,267.0,17.0,13.0,17.0,85
instrumentos_musicais,59.0,2367.0,3.0,16200.0,55.0,40.0,40.0,86
cama_mesa_banho,54.0,381.0,2.0,1400.0,38.0,9.0,27.0,87
cama_mesa_banho,50.0,607.0,1.0,6450.0,100.0,10.0,11.0,88
moveis_decoracao,59.0,1750.0,3.0,2300.0,105.0,3.0,70.0,89
informatica_acessorios,55.0,163.0,2.0,300.0,25.0,8.0,18.0,90
esporte_lazer,43.0,101.0,1.0,600.0,50.0,10.0,12.0,91
beleza_saude,60.0,2497.0,1.0,3600.0,20.0,20.0,20.0,92
beleza_saude,60.0,1146.0,6.0,150.0,20.0,24.0,33.0,93
esporte_lazer,57.0,900.0,4.0,400.0,16.0,4.0,11.0,94
telefonia,49.0,319.0,1.0,100.0,18.0,6.0,11.0,95
moveis_decoracao,55.0,1186.0,2.0,800.0,53.0,8.0,20.0,96
automotivo,58.0,703.0,6.0,5250.0,47.0,19.0,23.0,97
automotivo,50.0,361.0,1.0,200.0,35.0,4.0,26.0,98
relogios_presentes,58.0,899.0,2.0,335.0,17.0,11.0,12.0,99
cama_mesa_banho,49.0,701.0,1.0,1300.0,50.0,12.0,12.0,100
moveis_decoracao,47.0,1405.0,3.0,150.0,35.0,2.0,25.0,101
informatica_acessorios,59.0,504.0,3.0,367.0,16.0,4.0,11.0,102
relogios_presentes,57.0,276.0,4.0,250.0,16.0,2.0,11.0,103
moveis_decoracao,46.0,287.0,1.0,8500.0,75.0,25.0,55.0,104
bebes,46.0,1039.0,1.0,2150.0,42.0,25.0,15.0,105
,,,,650.0,17.0,14.0,12.0,106
esporte_lazer,56.0,663.0,4.0,150.0,16.0,5.0,11.0,107
cama_mesa_banho,39.0,170.0,1.0,650.0,27.0,10.0,22.0,108
eletroportateis,53.0,794.0,4.0,2700.0,20.0,26.0,32.0,109
utilidades_domesticas,56.0,414.0,1.0,1200.0,23.0,22.0,16.0,110
moveis_sala,36.0,312.0,2.0,6050.0,55.0,10.0,46.0,111
esporte_lazer,53.0,425.0,1.0,150.0,16.0,6.0,11.0,112
casa_construcao,58.0,918.0,6.0,1050.0,16.0,20.0,16.0,113
pet_shop,36.0,617.0,1.0,1350.0,23.0,7.0,30.0,114
utilidades_domesticas,41.0,270.0,1.0,600.0,36.0,6.0,19.0,115
moveis_decoracao,22.0,275.0,1.0,1000.0,30.0,18.0,18.0,116
cama_mesa_banho,58.0,381.0,2.0,1550.0,43.0,8.0,33.0,117
cama_mesa_banho,58.0,223.0,1.0,2700.0,45.0,13.0,35.0,118
telefonia,63.0,1930.0,9.0,200.0,19.0,5.0,11.0,119
malas_acessorios,51.0,244.0,1.0,800.0,38.0,8.0,28.0,120
perfumaria,56.0,733.0,3.0,377.0,18.0,13.0,15.0,121
esporte_lazer,52.0,1049.0,3.0,400.0,45.0,22.0,43.0,122
sinalizacao_e_seguranca,51.0,1212.0,1.0,450.0,16.0,5.0,16.0,123
climatizacao,30.0,547.0,1.0,2000.0,32.0,51.0,16.0,124
fashion_bolsas_e_acessorios,53.0,1398.0,1.0,300.0,16.0,2.0,11.0,125
moveis_decoracao,34.0,160.0,1.0,250.0,26.0,14.0,14.0,126
esporte_lazer,57.0,245.0,2.0,1950.0,60.0,15.0,15.0,127
telefonia,50.0,1254.0,2.0,500.0,16.0,15.0,11.0,128
,,,,300.0,16.0,7.0,20.0,129
artes,59.0,1431.0,6.0,7900.0,70.0,15.0,70.0,130
cama_mesa_banho,53.0,261.0,2.0,1800.0,41.0,9.0,34.0,131
ferramentas_jardim,60.0,884.0,1.0,900.0,37.0,3.0,23.0,132
fashion_bolsas_e_acessorios,52.0,68.0,7.0,200.0,16.0,2.0,11.0,133
bebes,30.0,410.0,4.0,4500.0,80.0,70.0,28.0,134
consoles_games,48.0,303.0,3.0,250.0,21.0,7.0,15.0,135
utilidades_domesticas,59.0,943.0,1.0,550.0,16.0,25.0,12.0,136
malas_acessorios,49.0,540.0,4.0,1100.0,39.0,12.0,28.0,137
cama_mesa_banho,53.0,222.0,1.0,3600.0,40.0,20.0,40.0,138
consoles_games,56.0,235.0,1.0,100.0,16.0,3.0,11.0,139
esporte_lazer,50.0,329.0,2.0,150.0,16.0,18.0,16.0,140
esporte_lazer,55.0,144.0,1.0,3775.0,18.0,13.0,16.0,141
cool_stuff,59.0,797.0,2.0,1400.0,25.0,20.0,20.0,142
consoles_games,53.0,439.0,5.0,900.0,22.0,7.0,18.0,143
relogios_presentes,60.0,438.0,2.0,250.0,20.0,12.0,20.0,144
brinquedos,55.0,852.0,1.0,350.0,21.0,9.0,16.0,145
,,,,200.0,20.0,20.0,20.0,146
bebes,39.0,805.0,3.0,1800.0,18.0,32.0,27.0,147
moveis_sala,52.0,420.0,2.0,5050.0,50.0,8.0,50.0,148
automotivo,58.0,386.0,1.0,27100.0,50.0,50.0,50.0,149
eletrodomesticos,50.0,273.0,1.0,1500.0,65.0,8.0,38.0,150
relogios_presentes,43.0,572.0,2.0,500.0,16.0,11.0,11.0,151
cama_mesa_banho,52.0,700.0,2.0,350.0,16.0,10.0,16.0,152
automotivo,47.0,1548.0,3.0,500.0,16.0,12.0,17.0,153
esporte_lazer,55.0,448.0,1.0,1000.0,20.0,20.0,20.0,154
,,,,18500.0,41.0,30.0,41.0,155
brinquedos,51.0,410.0,2.0,300.0,24.0,11.0,24.0,156
beleza_saude,59.0,257.0,1.0,250.0,16.0,2.0,20.0,157
beleza_saude,51.0,863.0,1.0,10700.0,40.0,40.0,40.0,158
utilidades_domesticas,29.0,290.0,1.0,1700.0,32.0,21.0,22.0,159
ferramentas_jardim,31.0,680.0,1.0,7700.0,39.0,28.0,25.0,160
esporte_lazer,57.0,785.0,4.0,5200.0,20.0,60.0,35.0,161
telefonia,51.0,244.0,1.0,125.0,17.0,10.0,14.0,162
moveis_escritorio,50.0,2220.0,1.0,15700.0,58.0,28.0,58.0,163
relogios_presentes,53.0,599.0,2.0,350.0,16.0,11.0,11.0,164
esporte_lazer,57.0,649.0,1.0,213.0,16.0,10.0,13.0,165
fashion_bolsas_e_acessorios,30.0,401.0,3.0,150.0,16.0,11.0,11.0,166
automotivo,35.0,907.0,3.0,18200.0,56.0,15.0,15.0,167
utilidades_domesticas,38.0,390.0,1.0,850.0,18.0,21.0,15.0,168
casa_construcao,55.0,918.0,6.0,1050.0,16.0,20.0,16.0,169
fashion_bolsas_e_acessorios,48.0,382.0,5.0,200.0,16.0,9.0,11.0,170
utilidades_domesticas,32.0,42.0,1.0,300.0,16.0,15.0,11.0,171
informatica_acessorios,47.0,764.0,1.0,200.0,23.0,9.0,13.0,172
esporte_lazer,52.0,406.0,1.0,800.0,20.0,25.0,25.0,173
papelaria,50.0,198.0,2.0,200.0,24.0,7.0,14.0,174
esporte_lazer,50.0,853.0,1.0,698.0,46.0,10.0,14.0,175
telefonia,59.0,776.0,6.0,350.0,17.0,4.0,12.0,176
livros_interesse_geral,50.0,2913.0,3.0,1000.0,24.0,5.0,17.0,177
informatica_acessorios,53.0,585.0,1.0,783.0,21.0,13.0,28.0,178
perfumaria,48.0,1063.0,2.0,600.0,20.0,20.0,20.0,179
brinquedos,47.0,181.0,1.0,11650.0,55.0,30.0,30.0,180
construcao_ferramentas_ferramentas,42.0,369.0,1.0,400.0,16.0,2.0,11.0,181
brinquedos,25.0,274.0,1.0,3050.0,40.0,10.0,40.0,182
telefonia,50.0,744.0,1.0,100.0,16.0,3.0,11.0,183
ferramentas_jardim,44.0,2395.0,1.0,16500.0,40.0,25.0,26.0,184
utilidades_domesticas,59.0,470.0,2.0,750.0,34.0,14.0,24.0,185
fashion_underwear_e_moda_praia,39.0,422.0,1.0,250.0,36.0,4.0,20.0,186
malas_acessorios,59.0,413.0,3.0,2300.0,84.0,14.0,20.0,187
eletronicos,37.0,374.0,1.0,1350.0,33.0,12.0,26.0,188
utilidades_domesticas,22.0,388.0,3.0,530.0,17.0,20.0,20.0,189
automotivo,59.0,162.0,1.0,1300.0,20.0,20.0,20.0,190
fashion_calcados,59.0,605.0,5.0,4000.0,57.0,14.0,36.0,191
esporte_lazer,52.0,234.0,4.0,8150.0,20.0,20.0,20.0,192
construcao_ferramentas_construcao,57.0,272.0,1.0,2200.0,16.0,2.0,11.0,193
beleza_saude,55.0,1029.0,1.0,1150.0,20.0,25.0,20.0,194
relogios_presentes,60.0,312.0,4.0,200.0,16.0,2.0,11.0,195
moveis_decoracao,60.0,1068.0,3.0,400.0,16.0,20.0,16.0,196
moveis_decoracao,63.0,244.0,4.0,600.0,29.0,12.0,23.0,197
,,,,300.0,35.0,7.0,12.0,198
cama_mesa_banho,48.0,645.0,1.0,1200.0,16.0,10.0,16.0,199
cool_stuff,50.0,268.0,5.0,10664.0,61.0,63.0,35.0,200
utilidades_domesticas,43.0,2148.0,2.0,1800.0,50.0,12.0,36.0,201
esporte_lazer,47.0,154.0,3.0,500.0,16.0,2.0,11.0,202
papelaria,48.0,501.0,1.0,258.0,19.0,12.0,19.0,203
papelaria,59.0,209.0,1.0,1400.0,16.0,44.0,37.0,204
brinquedos,59.0,640.0,1.0,400.0,35.0,7.0,35.0,205
climatizacao,58.0,655.0,5.0,1300.0,30.0,10.0,30.0,206
cama_mesa_banho,55.0,315.0,2.0,1000.0,30.0,10.0,25.0,207
pet_shop,52.0,1290.0,3.0,1300.0,30.0,10.0,18.0,208
brinquedos,58.0,443.0,2.0,3305.0,38.0,36.0,19.0,209
bebes,55.0,224.0,2.0,6000.0,75.0,15.0,50.0,210
informatica_acessorios,50.0,281.0,4.0,300.0,35.0,5.0,25.0,211
cama_mesa_banho,57.0,74.0,1.0,250.0,20.0,2.0,15.0,212
perfumaria,45.0,1003.0,2.0,400.0,18.0,11.0,11.0,213
eletronicos,32.0,1274.0,1.0,250.0,16.0,10.0,30.0,214
brinquedos,57.0,1532.0,2.0,1250.0,29.0,19.0,22.0,215
fashion_roupa_masculina,47.0,1026.0,2.0,950.0,40.0,6.0,40.0,216
pet_shop,54.0,261.0,6.0,2000.0,30.0,34.0,17.0,217
bebes,56.0,1395.0,7.0,13575.0,71.0,81.0,44.0,218
beleza_saude,60.0,537.0,1.0,667.0,17.0,16.0,16.0,219
relogios_presentes,55.0,457.0,2.0,267.0,17.0,11.0,12.0,220
cama_mesa_banho,60.0,609.0,2.0,1750.0,45.0,20.0,40.0,221
beleza_saude,52.0,1113.0,1.0,150.0,16.0,12.0,11.0,222
brinquedos,48.0,135.0,1.0,10550.0,65.0,7.0,45.0,223
utilidades_domesticas,57.0,1298.0,1.0,1725.0,100.0,35.0,16.0,224
malas_acessorios,43.0,215.0,1.0,700.0,45.0,10.0,31.0,225
esporte_lazer,29.0,1318.0,1.0,400.0,34.0,16.0,16.0,226
papelaria,23.0,146.0,3.0,300.0,30.0,10.0,20.0,227
casa_construcao,59.0,1582.0,1.0,5850.0,60.0,25.0,25.0,228
relogios_presentes,47.0,687.0,1.0,267.0,17.0,11.0,13.0,229
cama_mesa_banho,53.0,155.0,2.0,1500.0,39.0,12.0,25.0,230
cool_stuff,42.0,727.0,1.0,400.0,24.0,16.0,14.0,231
esporte_lazer,54.0,3830.0,1.0,1300.0,31.0,32.0,31.0,232
utilidades_domesticas,58.0,172.0,1.0,400.0,16.0,10.0,14.0,233
artes,32.0,195.0,1.0,150.0,25.0,2.0,19.0,234
beleza_saude,40.0,654.0,1.0,650.0,25.0,13.0,14.0,235
consoles_games,44.0,421.0,1.0,706.0,32.0,8.0,38.0,236
fashion_bolsas_e_acessorios,59.0,251.0,1.0,300.0,25.0,10.0,25.0,237
cama_mesa_banho,41.0,242.0,1.0,4850.0,75.0,5.0,50.0,238
automotivo,51.0,1741.0,1.0,825.0,20.0,24.0,15.0,239
informatica_acessorios,31.0,432.0,1.0,600.0,46.0,3.0,15.0,240
esporte_lazer,53.0,527.0,2.0,700.0,23.0,9.0,11.0,241
moveis_decoracao,51.0,1442.0,1.0,300.0,40.0,10.0,27.0,242
utilidades_domesticas,55.0,471.0,2.0,1270.0,17.0,14.0,17.0,243
construcao_ferramentas_ferramentas,40.0,338.0,1.0,450.0,20.0,2.0,11.0,244
,,,,2200.0,16.0,2.0,11.0,245
eletrodomesticos,56.0,173.0,1.0,150.0,18.0,8.0,13.0,246
ferramentas_jardim,49.0,192.0,1.0,200.0,16.0,3.0,11.0,247
moveis_cozinha_area_de_servico_jantar_e_jardim,50.0,859.0,1.0,10893.0,33.0,88.0,44.0,248
utilidades_domesticas,53.0,524.0,1.0,1800.0,25.0,7.0,20.0,249
brinquedos,29.0,566.0,2.0,1220.0,20.0,33.0,22.0,250
beleza_saude,53.0,1368.0,6.0,360.0,30.0,19.0,22.0,251
eletronicos,52.0,424.0,1.0,175.0,22.0,11.0,15.0,252
pet_shop,50.0,852.0,1.0,1900.0,50.0,13.0,70.0,253
esporte_lazer,37.0,621.0,5.0,250.0,20.0,20.0,20.0,254
bebes,58.0,1261.0,3.0,6950.0,85.0,11.0,50.0,255
utilidades_domesticas,57.0,1094.0,1.0,1100.0,55.0,5.0,40.0,256
bebes,64.0,882.0,5.0,300.0,17.0,7.0,24.0,257
moveis_escritorio,41.0,2261.0,1.0,16500.0,58.0,28.0,58.0,258
malas_acessorios,28.0,453.0,1.0,300.0,16.0,23.0,19.0,259
eletronicos,25.0,813.0,1.0,1836.0,61.0,6.0,24.0,260
beleza_saude,59.0,822.0,1.0,175.0,18.0,22.0,16.0,261
brinquedos,53.0,579.0,1.0,675.0,22.0,24.0,21.0,262
esporte_lazer,58.0,568.0,4.0,200.0,26.0,5.0,20.0,263
industria_comercio_e_negocios,58.0,1058.0,1.0,1200.0,30.0,20.0,30.0,264
informatica_acessorios,32.0,1074.0,2.0,200.0,39.0,2.0,30.0,265
moveis_escritorio,46.0,1193.0,2.0,16100.0,63.0,61.0,24.0,266
telefonia,51.0,443.0,1.0,117.0,19.0,4.0,12.0,267
telefonia_fixa,27.0,1217.0,1.0,455.0,36.0,18.0,27.0,268
cama_mesa_banho,55.0,613.0,1.0,550.0,16.0,10.0,16.0,269
fashion_calcados,54.0,404.0,4.0,750.0,22.0,12.0,33.0,270
cool_stuff,43.0,447.0,2.0,586.0,18.0,11.0,13.0,271
construcao_ferramentas_iluminacao,57.0,919.0,6.0,540.0,16.0,27.0,16.0,272
esporte_lazer,42.0,2819.0,1.0,3700.0,30.0,20.0,20.0,273
utilidades_domesticas,57.0,623.0,4.0,3150.0,30.0,17.0,30.0,274
cama_mesa_banho,57.0,296.0,1.0,2100.0,53.0,27.0,40.0,275
construcao_ferramentas_seguranca,51.0,1006.0,3.0,314.0,20.0,19.0,18.0,276
cama_mesa_banho,49.0,153.0,1.0,550.0,23.0,15.0,23.0,277
automotivo,55.0,978.0,1.0,13825.0,70.0,35.0,49.0,278
cama_mesa_banho,42.0,431.0,1.0,850.0,40.0,6.0,50.0,279
bebes,19.0,200.0,1.0,250.0,21.0,4.0,13.0,280
brinquedos,55.0,1475.0,1.0,400.0,20.0,20.0,20.0,281
perfumaria,48.0,606.0,2.0,400.0,16.0,20.0,15.0,282
consoles_games,25.0,211.0,1.0,200.0,16.0,2.0,16.0,283
automotivo,60.0,1023.0,5.0,250.0,20.0,20.0,20.0,284
informatica_acessorios,53.0,813.0,4.0,1950.0,17.0,11.0,12.0,285
moveis_decoracao,49.0,607.0,1.0,300.0,35.0,10.0,25.0,286
relogios_presentes,54.0,364.0,1.0,1050.0,30.0,45.0,11.0,287
automotivo,53.0,1373.0,4.0,400.0,16.0,7.0,11.0,288
instrumentos_musicais,40.0,234.0,1.0,1000.0,56.0,9.0,22.0,289
esporte_lazer,39.0,772.0,1.0,150.0,16.0,16.0,11.0,290
beleza_saude,60.0,876.0,1.0,700.0,16.0,16.0,16.0,291
consoles_games,47.0,358.0,3.0,450.0,17.0,7.0,17.0,292
beleza_saude,29.0,556.0,1.0,2000.0,30.0,12.0,16.0,293
construcao_ferramentas_construcao,57.0,954.0,4.0,21400.0,20.0,20.0,20.0,294
,,,,300.0,16.0,7.0,11.0,295
informatica_acessorios,52.0,2515.0,1.0,188.0,20.0,16.0,15.0,296
moveis_decoracao,56.0,646.0,1.0,300.0,16.0,30.0,20.0,297
fashion_bolsas_e_acessorios,38.0,487.0,2.0,13600.0,26.0,60.0,40.0,298
moveis_decoracao,50.0,1342.0,3.0,800.0,25.0,25.0,25.0,299
,,,,300.0,18.0,8.0,14.0,300
moveis_decoracao,49.0,600.0,2.0,1400.0,65.0,12.0,12.0,301
relogios_presentes,50.0,295.0,1.0,650.0,13.0,11.0,12.0,302
construcao_ferramentas_construcao,37.0,2457.0,1.0,600.0,26.0,17.0,17.0,303
moveis_decoracao,58.0,1969.0,2.0,3000.0,69.0,11.0,11.0,304
malas_acessorios,45.0,224.0,1.0,950.0,46.0,10.0,33.0,305
moveis_decoracao,51.0,582.0,2.0,17400.0,42.0,35.0,42.0,306
fashion_roupa_masculina,36.0,940.0,2.0,300.0,16.0,2.0,11.0,307
informatica_acessorios,52.0,1224.0,2.0,700.0,20.0,20.0,20.0,308
pet_shop,56.0,1545.0,2.0,625.0,21.0,16.0,17.0,309
ferramentas_jardim,44.0,586.0,3.0,3250.0,32.0,14.0,22.0,310
fashion_calcados,57.0,404.0,2.0,1500.0,22.0,12.0,33.0,311
cama_mesa_banho,54.0,228.0,1.0,250.0,32.0,3.0,23.0,312
ferramentas_jardim,41.0,198.0,1.0,425.0,31.0,6.0,12.0,313
climatizacao,56.0,1161.0,1.0,150.0,20.0,8.0,13.0,314
moveis_decoracao,56.0,2028.0,3.0,350.0,68.0,8.0,13.0,315
fashion_calcados,44.0,284.0,12.0,300.0,29.0,7.0,16.0,316
telefonia,49.0,276.0,12.0,100.0,19.0,3.0,11.0,317
automotivo,55.0,1658.0,3.0,550.0,16.0,21.0,18.0,318
automotivo,59.0,1250.0,1.0,250.0,16.0,27.0,15.0,319
automotivo,60.0,1541.0,1.0,1000.0,26.0,40.0,20.0,320
utilidades_domesticas,55.0,998.0,3.0,14850.0,35.0,102.0,35.0,321
bebes,46.0,726.0,3.0,850.0,42.0,25.0,15.0,322
consoles_games,56.0,3354.0,4.0,1850.0,28.0,14.0,19.0,323
fashion_bolsas_e_acessorios,54.0,1399.0,1.0,300.0,16.0,2.0,11.0,324
telefonia,61.0,212.0,1.0,200.0,19.0,4.0,11.0,325
beleza_saude,46.0,803.0,1.0,150.0,22.0,3.0,15.0,326
esporte_lazer,55.0,1392.0,1.0,900.0,16.0,16.0,16.0,327
ferramentas_jardim,52.0,497.0,1.0,1900.0,44.0,19.0,19.0,328
cama_mesa_banho,50.0,171.0,1.0,1450.0,45.0,10.0,15.0,329
livros_tecnicos,54.0,1162.0,1.0,1100.0,29.0,3.0,21.0,330
esporte_lazer,54.0,1241.0,5.0,200.0,16.0,11.0,11.0,331
esporte_lazer,43.0,1440.0,1.0,12600.0,20.0,10.0,20.0,332
beleza_saude,21.0,1000.0,1.0,1450.0,25.0,25.0,16.0,333
cool_stuff,49.0,733.0,3.0,800.0,42.0,25.0,15.0,334
perfumaria,50.0,749.0,1.0,1300.0,22.0,14.0,14.0,335
beleza_saude,45.0,802.0,1.0,150.0,22.0,3.0,15.0,336
eletronicos,40.0,549.0,1.0,200.0,20.0,20.0,20.0,337
ferramentas_jardim,60.0,1177.0,3.0,11450.0,23.0,43.0,35.0,338
moveis_decoracao,54.0,220.0,2.0,2200.0,20.0,20.0,20.0,339
eletrodomesticos_2,38.0,2030.0,2.0,13200.0,66.0,19.0,67.0,340
fashion_bolsas_e_acessorios,59.0,119.0,3.0,200.0,16.0,2.0,11.0,341
consoles_games,53.0,310.0,1.0,150.0,19.0,11.0,11.0,342
instrumentos_musicais,51.0,439.0,3.0,3350.0,30.0,30.0,30.0,343
cama_mesa_banho,64.0,702.0,1.0,2200.0,42.0,11.0,36.0,344
moveis_escritorio,48.0,489.0,2.0,30000.0,50.0,50.0,30.0,345
bebes,59.0,255.0,2.0,500.0,30.0,8.0,35.0,346
cama_mesa_banho,51.0,487.0,1.0,1800.0,45.0,10.0,34.0,347
,,,,200.0,22.0,14.0,14.0,348
artigos_de_festas,58.0,134.0,1.0,1300.0,70.0,11.0,11.0,349
fashion_bolsas_e_acessorios,51.0,372.0,2.0,150.0,16.0,9.0,11.0,350
malas_acessorios,39.0,278.0,1.0,700.0,19.0,48.0,35.0,351
malas_acessorios,32.0,1064.0,5.0,2900.0,40.0,55.0,30.0,352
fashion_bolsas_e_acessorios,34.0,426.0,4.0,200.0,16.0,9.0,11.0,353
beleza_saude,45.0,1886.0,1.0,300.0,16.0,18.0,16.0,354
papelaria,41.0,552.0,2.0,200.0,23.0,7.0,15.0,355
cama_mesa_banho,55.0,166.0,1.0,700.0,49.0,4.0,50.0,356
telefonia,52.0,819.0,4.0,200.0,17.0,13.0,16.0,357
climatizacao,51.0,2959.0,4.0,7800.0,105.0,10.0,40.0,358
papelaria,53.0,500.0,2.0,550.0,16.0,4.0,11.0,359
relogios_presentes,60.0,460.0,4.0,200.0,16.0,2.0,11.0,360
